date;close
07/07/05;5,3757
08/07/05;5,4643
11/07/05;5,4429
12/07/05;5,4629
13/07/05;5,4786
14/07/05;5,8214
15/07/05;5,9357
18/07/05;5,9271
19/07/05;6,17
20/07/05;6,2329
21/07/05;6,1843
22/07/05;6,2857
25/07/05;6,2586
26/07/05;6,2329
27/07/05;6,2843
28/07/05;6,2571
29/07/05;6,0929
01/08/05;6,1071
02/08/05;6,17
03/08/05;6,1743
04/08/05;6,1014
05/08/05;6,1414
08/08/05;6,0929
09/08/05;6,26
10/08/05;6,1971
11/08/05;6,2857
12/08/05;6,5857
15/08/05;6,8114
16/08/05;6,6071
17/08/05;6,7357
18/08/05;6,6143
19/08/05;6,5471
22/08/05;6,5529
23/08/05;6,5343
24/08/05;6,5386
25/08/05;6,58
26/08/05;6,5343
29/08/05;6,5486
30/08/05;6,6529
31/08/05;6,6986
01/09/05;6,6086
02/09/05;6,6029
06/09/05;6,9714
07/09/05;6,9543
08/09/05;7,1114
09/09/05;7,33
12/09/05;7,3429
13/09/05;7,26
14/09/05;7,0871
15/09/05;7,1243
16/09/05;7,3157
19/09/05;7,52
20/09/05;7,5986
21/09/05;7,4443
22/09/05;7,4143
23/09/05;7,6
26/09/05;7,6914
27/09/05;7,6343
28/09/05;7,2971
29/09/05;7,4771
30/09/05;7,6586
03/10/05;7,7771
04/10/05;7,6786
05/10/05;7,54
06/10/05;7,3857
07/10/05;7,3286
10/10/05;7,1957
11/10/05;7,37
12/10/05;7,0357
13/10/05;7,6771
14/10/05;7,7143
17/10/05;7,6343
18/10/05;7,4586
19/10/05;7,8486
20/10/05;8,02
21/10/05;7,9514
24/10/05;8,1129
25/10/05;8,0143
26/10/05;8,1471
27/10/05;7,9157
28/10/05;7,7814
31/10/05;8,2271
01/11/05;8,2143
02/11/05;8,5643
03/11/05;8,8357
04/11/05;8,7357
07/11/05;8,6043
08/11/05;8,5571
09/11/05;8,5871
10/11/05;8,74
11/11/05;8,7914
14/11/05;8,7786
15/11/05;8,8971
16/11/05;9,2786
17/11/05;9,2171
18/11/05;9,2229
21/11/05;9,28
22/11/05;9,5029
23/11/05;9,5871
25/11/05;9,9057
28/11/05;9,9514
29/11/05;9,7286
30/11/05;9,6886
01/12/05;10,2286
02/12/05;10,3757
05/12/05;10,26
06/12/05;10,5786
07/12/05;10,5643
08/12/05;10,5829
09/12/05;10,6186
12/12/05;10,7014
13/12/05;10,7114
14/12/05;10,2871
15/12/05;10,3114
16/12/05;10,1586
19/12/05;10,1971
20/12/05;10,3014
21/12/05;10,5
22/12/05;10,5743
23/12/05;10,4786
27/12/05;10,6043
28/12/05;10,51
29/12/05;10,2071
30/12/05;10,27
03/01/06;10,6786
04/01/06;10,71
05/01/06;10,6257
06/01/06;10,9
09/01/06;10,8643
10/01/06;11,5514
11/01/06;11,9857
12/01/06;12,0416
13/01/06;12,2271
17/01/06;12,1014
18/01/06;11,7843
19/01/06;11,2907
20/01/06;10,8699
23/01/06;11,0957
24/01/06;10,8629
25/01/06;10,6
26/01/06;10,3329
27/01/06;10,29
30/01/06;10,7143
31/01/06;10,7871
01/02/06;10,7743
02/02/06;10,3
03/02/06;10,2639
06/02/06;9,6143
07/02/06;9,6571
08/02/06;9,83
09/02/06;9,2786
10/02/06;9,6157
13/02/06;9,2443
14/02/06;9,6636
15/02/06;9,8886
16/02/06;10,0814
17/02/06;10,0414
21/02/06;9,8686
22/02/06;10,1886
23/02/06;10,25
24/02/06;10,2086
27/02/06;10,1414
28/02/06;9,7843
01/03/06;9,8714
02/03/06;9,9443
03/03/06;9,6743
06/03/06;9,3543
07/03/06;9,4729
08/03/06;9,38
09/03/06;9,1329
10/03/06;9,0271
13/03/06;9,3829
14/03/06;9,6171
15/03/06;9,4614
16/03/06;9,1871
17/03/06;9,2371
20/03/06;9,1414
21/03/06;8,83
22/03/06;8,81
23/03/06;8,5943
24/03/06;8,5657
27/03/06;8,5014
28/03/06;8,3871
29/03/06;8,9043
30/03/06;8,9643
31/03/06;8,96
03/04/06;8,95
04/04/06;8,7386
05/04/06;9,6014
06/04/06;10,1771
07/04/06;9,97
10/04/06;9,81
11/04/06;9,7129
12/04/06;9,53
13/04/06;9,4956
17/04/06;9,2587
18/04/06;9,46
19/04/06;9,3786
20/04/06;9,6614
21/04/06;9,5771
24/04/06;9,3929
25/04/06;9,4529
26/04/06;9,7357
27/04/06;9,9086
28/04/06;10,0557
01/05/06;9,9429
02/05/06;10,2314
03/05/06;10,1629
04/05/06;10,1614
05/05/06;10,27
08/05/06;10,27
09/05/06;10,1471
10/05/06;10,0857
11/05/06;9,7357
12/05/06;9,6714
15/05/06;9,6843
16/05/06;9,2829
17/05/06;9,3229
18/05/06;9,0257
19/05/06;9,2157
22/05/06;9,0543
23/05/06;9,0214
24/05/06;9,0486
25/05/06;9,19
26/05/06;9,0784
30/05/06;8,7457
31/05/06;8,5386
01/06/06;8,8814
02/06/06;8,8086
05/06/06;8,5714
06/06/06;8,5319
07/06/06;8,3664
08/06/06;8,68
09/06/06;8,4629
12/06/06;8,1429
13/06/06;8,3329
14/06/06;8,23
15/06/06;8,4829
